,name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,fixed-ingredient-1,fixed-measurement-1,fixed-ingredient-2,fixed-measurement-2,fixed-ingredient-3,fixed-measurement-3,fixed-ingredient-4,fixed-measurement-4,fixed-ingredient-5,fixed-measurement-5,fixed-ingredient-6,fixed-measurement-6,fixed-instructions,blend,shake,stir-strain,build,no-measurement,total-liquid,alco-pop,beer,bitters,brandy,citrus juice,citrus spirit,cream spirit,dessert spirit,egg,flavoured water,floral spirit,fortified wine,fruit juice,fruit spirit,gin,herbal spirit,milk,rum,sauce,soda,sparkling wine,syrup,tea,tequila,water,vodka,whisky,wine,glass-total,total-alcohol,total-ingredients,alco-percent
0,Gauguin,Cocktail Classics,2 oz, Light Rum,1 oz, Passion Fruit Syrup,1 oz, Lemon Juice,1 oz, Lime Juice,,,,,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,6 to 8 ounces,light rum,2 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,1 oz,,,,,combine ingredients with a cup of crushed ice in blender and blend at low speed. serve in old-fashioned glass. top with a cherry.,True,False,False,True,,150.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,3,0.4
1,Fort Lauderdale,Cocktail Classics,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Juice of Orange,1/4 oz, Juice of a Lime,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,6 to 8 ounces,light rum,1 1/2 oz,sweet vermouth,1/2 oz,juice of orange,1/4 oz,juice of a lime,1/4 oz,,,,,shake with ice and strain into old-fashioned glass over ice cubes. add a slice of orange.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,3,0.8
2,Apple Pie,Cordials and Liqueurs,3 oz, Apple schnapps,1 oz, Cinnamon schnapps,, Apple slice,,,,,,,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,6 to 8 ounces,apple schnapps,3 oz,cinnamon schnapps,1 oz,apple slice,,,,,,,,pour into ice-filled old-fashioned glass. garnish with apple and top with cinnamon.,False,False,False,True,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,2,0.5
3,Cuban Cocktail No. 1,Cocktail Classics,1/2 oz, Juice of a Lime,1/2 oz, Powdered Sugar,2 oz, Light Rum,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6 or more ounces,juice of a lime,1/2 oz,powdered sugar,1/2 oz,light rum,2 oz,,,,,,,shake with ice and  strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,2,0.8
4,Cool Carlos,Cocktail Classics,1 1/2 oz, Dark rum,2 oz, Cranberry Juice,2 oz, Pineapple Juice,1 oz, Orange curacao,1 oz, Sour Mix,,,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,14 to 16 ounces,dark rum,1 1/2 oz,cranberry juice,2 oz,pineapple juice,2 oz,orange orange liqueur,1 oz,sour mix,1 oz,,,"mix all ingredients except curacao with ice, shake well. pour into collins glass and float curacao on top. garnish with pineapple and orange slices, and a cherry.",False,True,False,False,,195.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,60.0,3,0.3076923076923077
5,John Collins,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,1 oz," Orange and lemon wheels, maraschino cherry",,,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces,bourbon whiskey,2 oz,fresh lemon juice,1 oz,simple syrup,1/2 oz,soda water,1 oz,"orange,lemon wheels, maraschino cherry",1 oz,,,"shake first three ingredients with ice and strain into collins glass. add ice, fill with soda water, and stir. garnish with orange, lemon, and cherry. serve with straws.",False,True,False,True,,135.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,450.0,60.0,4,0.4444444444444444
6,Cherry Rum,Cocktail Classics,1 1/4 oz, Light Rum,1 1/2 oz, cherry-flavored brandy,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,1 1/4 oz,cherry-flavored brandy,1 1/2 oz,light cream,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,30.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.5333333333333333
7,Casa Blanca,Cocktail Classics,2 oz, Light Rum,1 1/2 oz, Lime Juice,1 1/2 oz, Triple Sec,1 1/2 oz, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,2 oz,lime juice,1 1/2 oz,orange liqueur,1 1/2 oz,maraschino liqueur,1 1/2 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,195.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,105.0,4,0.5384615384615384
8,Caribbean Champagne,Cocktail Classics,1/2 oz, Light Rum,1/2 oz, Creme de banana, ,Chilled Champagne,,,,,,,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.,Champagne Flute,6 to 8 ounces,light rum,1/2 oz,creme de banana,1/2 oz,chilled champagne,,,,,,,,pour rum and banana liqueur into champagne flute. fill with champagne and stir lightly. add a slice of banana.,False,False,False,True,sparkling wine,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,54.375,3,0.34523809523809523
9,Amber Amour,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,, Soda water,, Maraschino cherry,,,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,14 to 16 ounces,almond liqueur,1 1/2 oz,fresh lemon juice,1/4 oz,simple syrup,1/4 oz,soda water,,maraschino cherry,,,,"pour amaretto, lemon juice, and syrup into ice-filled collins glass. top with soda water and stir. garnish with cherry.",False,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,277.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,450.0,22.5,4,0.06666666666666667
